Year;Country;Energy Consumption (Mtoe);Growth rate per annum 2016.1;Growth rate per annum 2005-15;Share 2016.2
1965;Poland;0.0;0.0;0.0;0.0
1965;Romania;0.0;-0.033061517661;0.0767797800533;0.00431332898149
1965;Other Europe & Eurasia;0.0;-0.0430688763492;-0.00194949853764;0.0030935886444
1965;Iran;0.0;0.753145017818;0.0;0.00238308640307
1965;Saudi Arabia;0.0;0.0;0.0;0.0
1965;United Arab Emirates;0.0;0.0;0.0;0.0
1965;Singapore;0.0;0.0;0.0;0.0
1965;South Korea;0.0;-0.0183932542688;0.0116246797584;0.061980695337
1966;Brazil;0.0;0.0746546774084;0.0410386500271;0.0060681297221
1966;Ecuador;0.0;0.0;0.0;0.0
1966;Trinidad & Tobago;0.0;0.0;0.0;0.0
1966;Venezuela;0.0;0.0;0.0;0.0
1966;Switzerland;0.0;-0.0866841767479;0.000353662739655;0.00814051987469
1966;Turkey;0.0;0.0;0.0;0.0
1966;Other Middle East;0.0;0.0;0.0;0.0
1966;Egypt;0.0;0.0;0.0;0.0
1966;New Zealand;0.0;0.0;0.0;0.0
1966;CIS;0.0;-0.0234450200574;0.0180220784138;0.106992286285
1967;Mexico;0.0;-0.0897316492651;0.00692708052423;0.00403860525882
1967;Venezuela;0.0;0.0;0.0;0.0
1967;Austria;0.0;0.0;0.0;0.0
1967;Spain;0.0;0.0217488918409;-0.000456494280728;0.0224276753812
1967;Sweden;0.011;0.11094604485;-0.0251455325756;0.0239901095693
1967;Other Europe & Eurasia;0.0;-0.0430688763492;-0.00194949853764;0.0030935886444
1967;Kuwait;0.0;0.0;0.0;0.0
1967;Bangladesh;0.0;0.0;0.0;0.0
1967;China;0.0;0.244905944955;0.123949005604;0.0814816355532
1967;Malaysia;0.0;0.0;0.0;0.0
1967;New Zealand;0.0;0.0;0.0;0.0
1967;Philippines;0.0;0.0;0.0;0.0
1968;Chile;0.0;0.0;0.0;0.0
1968;Ecuador;0.0;0.0;0.0;0.0
1968;Hungary;0.0;0.0110933087857;0.0135971320719;0.00613554995887
1968;Netherlands;0.005;0.0065425902099;0.00199784977413;0.00157305715455
1968;Sweden;0.005;0.11094604485;-0.0251455325756;0.0239901095693
1968;United Kingdom;5.927;0.0168484941404;-0.0147541520331;0.0274125626516
1968;USSR;0.709;;;
1968;Malaysia;0.0;0.0;0.0;0.0
1968;Taiwan;0.0;-0.134250403896;-0.00912399116697;0.0121004673597
1968;Vietnam;0.0;0.0;0.0;0.0
1968;of which: OECD;11.1715956631;-0.00249745624859;-0.0173546849663;0.754727428751
1969;Trinidad & Tobago;0.0;0.0;0.0;0.0
1969;Venezuela;0.0;0.0;0.0;0.0
1969;Other S. & Cent. America;0.0115400280581;0.0;0.0;0.0
1969;France;1.122;-0.0807455355552;-0.00316767460796;0.15410022888
1969;Germany;1.206;-0.0804862994025;-0.055833382397;0.0323442346007
1969;Israel;0.0;0.0;0.0;0.0
1969;Algeria;0.0;0.0;0.0;0.0
1969;South Africa;0.0;0.296883195103;0.00806042009797;0.00608186227484
1969;China;0.0;0.244905944955;0.123949005604;0.0814816355532
1970;US;5.19347660911;0.00746257086816;0.00192590545257;0.323982320147
1970;Bulgaria;0.0;0.0229948178908;-0.0180695859591;0.00602927528082
1970;Germany;1.469;-0.0804862994025;-0.055833382397;0.0323442346007
1970;Greece;0.0;0.0;0.0;0.0
1970;Spain;0.212;0.0217488918409;-0.000456494280728;0.0224276753812
1970;USSR;0.993;;;
1970;Kuwait;0.0;0.0;0.0;0.0
1970;Qatar;0.0;0.0;0.0;0.0
1970;Saudi Arabia;0.0;0.0;0.0;0.0
1970;South Africa;0.0;0.296883195103;0.00806042009797;0.00608186227484
1970;Australia;0.0;0.0;0.0;0.0
1970;India;0.296;-0.0134048157099;0.0795164145348;0.0144838422715
1970;Japan;0.748;2.89673638624;-0.341032853681;0.00675652448446
1970;Pakistan;0.0;0.151411704925;0.0622858704597;0.0021211213758
1970;Thailand;0.0;0.0;0.0;0.0
1970;CIS;0.0;-0.0234450200574;0.0180220784138;0.106992286285
1971;Germany;1.407;-0.0804862994025;-0.055833382397;0.0323442346007
1971;Ireland;0.0;0.0;0.0;0.0
1971;Netherlands;0.094;0.0065425902099;0.00199784977413;0.00157305715455
1971;Sweden;0.02;0.11094604485;-0.0251455325756;0.0239901095693
1971;Turkey;0.0;0.0;0.0;0.0
1971;United Kingdom;6.234;0.0168484941404;-0.0147541520331;0.0274125626516
1971;Qatar;0.0;0.0;0.0;0.0
1971;Indonesia;0.0;0.0;0.0;0.0
1971;New Zealand;0.0;0.0;0.0;0.0
1971;Non-OECD;1.45950355252;0.0650060189181;0.0377171668464;0.245272571249
1971;European Union #;11.2219200344;-0.0231185082006;-0.0150815035623;0.320968941437
1972;Argentina;0.0;0.174781420765;0.0039893884581;0.00321753574139
1972;Chile;0.0;0.0;0.0;0.0
1972;Bulgaria;0.0;0.0229948178908;-0.0180695859591;0.00602927528082
1972;Spain;1.063;0.0217488918409;-0.000456494280728;0.0224276753812
1972;Turkey;0.0;0.0;0.0;0.0
1972;USSR;2.225;;;
1972;Algeria;0.0;0.0;0.0;0.0
1972;Egypt;0.0;0.0;0.0;0.0
1972;Other Africa;0.0;0.0;0.0;0.0
1973;Canada;3.236;0.0156489459622;0.00975552295324;0.0392024264744
1973;Argentina;0.0;0.174781420765;0.0039893884581;0.00321753574139
1973;Ecuador;0.0;0.0;0.0;0.0
1973;Trinidad & Tobago;0.0;0.0;0.0;0.0
1973;Austria;0.0;0.0;0.0;0.0
1973;Belgium;0.0171969045572;0.663086779132;-0.0583003512633;0.0166364663126
1973;Iran;0.0;0.753145017818;0.0;0.00238308640307
1973;United Arab Emirates;0.0;0.0;0.0;0.0
1973;Thailand;0.0;0.0;0.0;0.0
1973;Other Asia Pacific;0.0;0.0;0.0;0.0
1974;Chile;0.0;0.0;0.0;0.0
1974;Trinidad & Tobago;0.0;0.0;0.0;0.0
1974;Belgium;0.0334887088745;0.663086779132;-0.0583003512633;0.0166364663126
1974;Norway;0.0;0.0;0.0;0.0
1975;Portugal;0.0;0.0;0.0;0.0
1975;Slovakia;0.042;-0.0272260742254;-0.0156120908864;0.00564638688397
1975;Saudi Arabia;0.0;0.0;0.0;0.0
1975;Algeria;0.0;0.0;0.0;0.0
1975;Bangladesh;0.0;0.0;0.0;0.0
1975;India;0.485;-0.0134048157099;0.0795164145348;0.0144838422715
1975;New Zealand;0.0;0.0;0.0;0.0
1975;Taiwan;0.0;-0.134250403896;-0.00912399116697;0.0121004673597
1976;US;45.5178557223;0.00746257086816;0.00192590545257;0.323982320147
1976;Chile;0.0;0.0;0.0;0.0
1976;Belgium;2.27089650179;0.663086779132;-0.0583003512633;0.0166364663126
1976;Germany;6.706;-0.0804862994025;-0.055833382397;0.0323442346007
1976;Italy;0.859;0.0;0.0;0.0
1976;Portugal;0.0;0.0;0.0;0.0
1976;Israel;0.0;0.0;0.0;0.0
1976;Non-OECD;11.0150729511;0.0650060189181;0.0377171668464;0.245272571249
1976;European Union #;28.9610643979;-0.0231185082006;-0.0150815035623;0.320968941437
1977;Canada;6.056;0.0156489459622;0.00975552295324;0.0392024264744
1977;Peru;0.0;0.0;0.0;0.0
1977;France;4.05960085079;-0.0807455355552;-0.00316767460796;0.15410022888
1977;Algeria;0.0;0.0;0.0;0.0
1977;China Hong Kong SAR;0.0;0.0;0.0;0.0
1977;New Zealand;0.0;0.0;0.0;0.0
1977;of which: OECD;107.391564823;-0.00249745624859;-0.0173546849663;0.754727428751
1978;Brazil;0.0;0.0746546774084;0.0410386500271;0.0060681297221
1978;Bulgaria;1.338;0.0229948178908;-0.0180695859591;0.00602927528082
1978;Czech Republic;0.0;-0.104410392758;0.00823402354842;0.00921224033631
1978;Finland;0.733369378553;-0.00469765212849;-0.000134273266029;0.0089640258882
1978;France;6.89052812599;-0.0807455355552;-0.00316767460796;0.15410022888
1978;Ireland;0.0;0.0;0.0;0.0
1978;United Kingdom;8.424;0.0168484941404;-0.0147541520331;0.0274125626516
1978;Iran;0.0;0.753145017818;0.0;0.00238308640307
1978;Other Africa;0.0;0.0;0.0;0.0
1978;Thailand;0.0;0.0;0.0;0.0
1979;Brazil;0.0;0.0746546774084;0.0410386500271;0.0060681297221
1979;Austria;0.0;0.0;0.0;0.0
1979;Italy;1.053;0.0;0.0;0.0
1979;Iran;0.0;0.753145017818;0.0;0.00238308640307
1979;Qatar;0.0;0.0;0.0;0.0
1979;South Korea;0.713197266597;-0.0183932542688;0.0116246797584;0.061980695337
1979;Other Asia Pacific;0.0;0.0;0.0;0.0
1980;Austria;0.0;0.0;0.0;0.0
1980;Turkey;0.0;0.0;0.0;0.0
1980;Qatar;0.0;0.0;0.0;0.0
1980;South Africa;0.0;0.296883195103;0.00806042009797;0.00608186227484
1981;Mexico;0.0;-0.0897316492651;0.00692708052423;0.00403860525882
1981;Kuwait;0.0;0.0;0.0;0.0
1981;United Arab Emirates;0.0;0.0;0.0;0.0
1981;Egypt;0.0;0.0;0.0;0.0
1981;of which: OECD;163.675702877;-0.00249745624859;-0.0173546849663;0.754727428751
1982;US;67.3521406812;0.00746257086816;0.00192590545257;0.323982320147
1982;Argentina;0.421;0.174781420765;0.0039893884581;0.00321753574139
1982;Czech Republic;0.0;-0.104410392758;0.00823402354842;0.00921224033631
1982;Indonesia;0.0;0.0;0.0;0.0
1982;New Zealand;0.0;0.0;0.0;0.0
1982;Thailand;0.0;0.0;0.0;0.0
1983;Argentina;0.762;0.174781420765;0.0039893884581;0.00321753574139
1983;Other S. & Cent. America;0.0;0.0;0.0;0.0
1983;Poland;0.0;0.0;0.0;0.0
1983;Sweden;9.28;0.11094604485;-0.0251455325756;0.0239901095693
1983;South Africa;0.0;0.296883195103;0.00806042009797;0.00608186227484
1983;New Zealand;0.0;0.0;0.0;0.0
1983;Vietnam;0.0;0.0;0.0;0.0
1984;Italy;1.511;0.0;0.0;0.0
1984;Other Middle East;0.0;0.0;0.0;0.0
1985;Ireland;0.0;0.0;0.0;0.0
1985;Norway;0.0;0.0;0.0;0.0
1985;Australia;0.0;0.0;0.0;0.0
1986;Venezuela;0.0;0.0;0.0;0.0
1986;France;57.5089378649;-0.0807455355552;-0.00316767460796;0.15410022888
1986;Hungary;1.68;0.0110933087857;0.0135971320719;0.00613554995887
1986;Spain;8.477;0.0217488918409;-0.000456494280728;0.0224276753812
1986;Israel;0.0;0.0;0.0;0.0
1986;Algeria;0.0;0.0;0.0;0.0
1986;Other Africa;0.0;0.0;0.0;0.0
1972;Germany;2.155;-0.0804862994025;-0.055833382397;0.0323442346007
1972;Poland;0.0;0.0;0.0;0.0
1972;Switzerland;0.812;-0.0866841767479;0.000353662739655;0.00814051987469
1972;Saudi Arabia;0.0;0.0;0.0;0.0
1972;Australia;0.0;0.0;0.0;0.0
1972;China Hong Kong SAR;0.0;0.0;0.0;0.0
1972;India;0.209;-0.0134048157099;0.0795164145348;0.0144838422715
1972;Taiwan;0.0;-0.134250403896;-0.00912399116697;0.0121004673597
1973;Mexico;0.0;-0.0897316492651;0.00692708052423;0.00403860525882
