Year;Country;Oil Consumption (million tonnes);Growth rate per annum 2005-15;Growth rate per annum 2016.1;Share 2016.2;change_2015_over_2014
1979;Vietnam;1.11315610389;0.0443359635328;0.0618389447407;0.00454191467685;
1980;Ecuador;2.962;0.0412177042731;-0.0664924008657;0.00249937082813;
1980;Bulgaria;13.972;-0.0098635722614;0.029293770316;0.00102224459515;
1980;Hungary;11.279;-0.00505255458513;0.012614501929;0.00160747232431;
1980;Italy;97.897;-0.0399840478651;0.00535804470244;0.013150196978;
1980;Romania;18.571;-0.0136769507416;0.0337478710484;0.00214835480613;
1980;Slovakia;6.668;-0.00409882077011;0.0860525560173;0.000905336303743;
1980;Switzerland;12.846;-0.0130414471323;-0.0543725268229;0.00230358531222;
1980;United Kingdom;80.918;-0.0153694792323;0.0165550944849;0.0165542352039;
1980;Israel;8.01;-0.00693388287314;0.0194729633704;0.00262996144278;
1980;United Arab Emirates;5.082;0.050479840448;0.0608684943381;0.00983813721823;
1980;China;86.655;0.054997375502;0.0271186796805;0.130969649145;
1980;Non-OECD;1020.19991452;0.0338179471104;0.020423090801;0.527681585284;
1981;US;734.29675593;-0.00909539133999;0.0050321159005;0.195354032264;
1981;Canada;84.228;-0.000462457115434;0.0151149879346;0.0228425337456;
1981;Argentina;22.425;0.0447990107358;-0.011319514322;0.0072211961883;
1981;Ecuador;3.327;0.0412177042731;-0.0664924008657;0.00249937082813;
1981;Austria;11.046;-0.0115553585964;0.0134464389138;0.002864706901;
1981;Finland;12.251;-0.0235096443704;0.0264798600218;0.00203667226753;
1981;Portugal;8.95843;-0.0348163102812;-0.0319679576469;0.00252833392023;
1981;United Kingdom;74.734;-0.0153694792323;0.0165550944849;0.0165542352039;
1981;USSR;425.299893721;;;;
1981;Other Europe & Eurasia;18.1483145;-0.00239486370868;0.032363947508;0.00780618372517;
1981;Kuwait;5.724;0.0132316560698;-0.0152686603286;0.00497767994076;
1981;Egypt;15.151;0.0288434376484;0.0228172321681;0.00919830128259;
1981;Australia;29.4264124698;0.0194166958136;-0.00334100144943;0.0108263104513;
1981;China;82.23;0.054997375502;0.0271186796805;0.130969649145;
1981;China Hong Kong SAR;6.879;0.0267366408909;0.0316545234922;0.00427590312973;
1981;Indonesia;21.073;0.0155878663517;0.00835735947919;0.0164290398277;
1981;Pakistan;5.328;0.0489938301027;0.114379245848;0.0062177443095;
1981;Thailand;11.042;0.0224760904857;0.0262553690772;0.0133441181982;
1981;Other Asia Pacific;9.08099522103;0.0444323724989;0.0456177256735;0.00551434848402;
1982;Mexico;55.7538044963;-0.00733385044388;-0.0210499792963;0.0187495392397;
1982;Ecuador;3.643;0.0412177042731;-0.0664924008657;0.00249937082813;
1982;Venezuela;21.7020677855;0.00675111521676;-0.0533052722867;0.00649704217475;
1982;Czech Republic;10.427;-0.0106302423772;-0.0615458079398;0.00190153982563;
1982;Greece;11.901;-0.0295592675986;0.0279833729062;0.0034804128338;
1982;Hungary;10.197;-0.00505255458513;0.012614501929;0.00160747232431;
1982;Poland;15.165;0.0108497831108;0.0876304063679;0.0061567395336;
1982;Romania;16.38;-0.0136769507416;0.0337478710484;0.00214835480613;
1982;Slovakia;5.994;-0.00409882077011;0.0860525560173;0.000905336303743;
1982;Sweden;21.0000421348;-0.019261880171;0.0371515768563;0.00332547393951;
1982;Switzerland;11.209;-0.0130414471323;-0.0543725268229;0.00230358531222;
1982;USSR;422.337085274;;;;
1982;Iran;31.0361193398;0.00482951810473;-0.0107170111668;0.0189728435234;
1982;Israel;7.887;-0.00693388287314;0.0194729633704;0.00262996144278;
1982;Saudi Arabia;37.1594936711;0.0586763497935;0.00501110004667;0.0380094014126;
1982;United Arab Emirates;6.168;0.050479840448;0.0608684943381;0.00983813721823;
1982;Indonesia;21.801;0.0155878663517;0.00835735947919;0.0164290398277;
1983;Brazil;52.2067951437;0.0400598029266;-0.0557473535251;0.0314205348452;
1983;Greece;11.414;-0.0295592675986;0.0279833729062;0.0034804128338;
1983;Hungary;9.669;-0.00505255458513;0.012614501929;0.00160747232431;
1983;Italy;89.198;-0.0399840478651;0.00535804470244;0.013150196978;
1983;Portugal;9.463428;-0.0348163102812;-0.0319679576469;0.00252833392023;
1983;Qatar;1.149;0.116115748313;0.0915918215674;0.00264893774133;
1983;United Arab Emirates;6.19;0.050479840448;0.0608684943381;0.00983813721823;
1983;China Hong Kong SAR;5.941;0.0267366408909;0.0316545234922;0.00427590312973;
1983;of which: OECD;1719.28398686;-0.0109491056019;0.00905954362201;0.472318414716;
1984;US;713.026718878;-0.00909539133999;0.0050321159005;0.195354032264;
1984;Argentina;20.701;0.0447990107358;-0.011319514322;0.0072211961883;
1984;Venezuela;19.8973368787;0.00675111521676;-0.0533052722867;0.00649704217475;
1984;Other S. & Cent. America;44.746168007;0.00142497093135;0.0123998435793;0.0155064980827;
1984;Czech Republic;10.818;-0.0106302423772;-0.0615458079398;0.00190153982563;
1984;Romania;14.011;-0.0136769507416;0.0337478710484;0.00214835480613;
1984;Slovakia;6.219;-0.00409882077011;0.0860525560173;0.000905336303743;
1984;Turkey;16.968;0.0238713247005;0.0557059383059;0.00931871739344;
1984;Other Europe & Eurasia;18.627806;-0.00239486370868;0.032363947508;0.00780618372517;
1984;Kuwait;7.621;0.0132316560698;-0.0152686603286;0.00497767994076;
1984;United Arab Emirates;7.105;0.050479840448;0.0608684943381;0.00983813721823;
1984;New Zealand;3.76401495355;0.0068308856701;0.0183967458389;0.00173193495163;
1984;Philippines;8.396;0.0214814084468;0.0845896779434;0.00450764784676;
1984;Thailand;11.648;0.0224760904857;0.0262553690772;0.0133441181982;
1984;Other Asia Pacific;8.87627164728;0.0444323724989;0.0456177256735;0.00551434848402;
1985;Canada;71.198;-0.000462457115434;0.0151149879346;0.0228425337456;
1985;Argentina;18.729;0.0447990107358;-0.011319514322;0.0072211961883;
1985;Chile;4.589;0.0353551914879;0.00378454607745;0.00401818944654;
1985;Ecuador;4.12;0.0412177042731;-0.0664924008657;0.00249937082813;
1985;Austria;9.835;-0.0115553585964;0.0134464389138;0.002864706901;
1985;France;84.3;-0.0190468023712;-0.00804632742163;0.0172860782849;
1985;Ireland;3.93;-0.0307289425959;0.0304925400744;0.0015936213772;
1985;Spain;42.88;-0.0255552408429;0.0181216644347;0.0141412982703;
1985;Israel;6.508;-0.00693388287314;0.0194729633704;0.00262996144278;
1985;Other Middle East;30.8928524989;0.0188686324944;0.00807818200903;0.0174934526445;
1985;Algeria;7.966;0.0583887845937;-0.0319442855764;0.00427601652962;
1985;Australia;28.9279451424;0.0194166958136;-0.00334100144943;0.0108263104513;
1985;Malaysia;9.51068659416;0.0241358666491;0.0182128990693;0.00821360555306;
1985;South Korea;26.081;0.00830891716715;0.0706457840114;0.0276466983478;
1986;Peru;6.069;0.0412579261803;0.0683526883105;0.00258972242776;
